Index,Organization Name,URL,Description
80,Boston University Skincare Club,https://bu.campuslabs.com/engage/organization/buskincareclub,The BU Skincare Club aims to provide an inclusive and welcoming environment for students to enhance their knowledge of skin care or enjoy recreational skin care. We are committed to exploring and embracing all skin types in the student body.
81,Boston University Society for Underrepresented Genders in Marine Science,https://bu.campuslabs.com/engage/organization/buswms,"The Boston University chapter of the Society for Women in Marine Science is open to all students, faculty, staff, post-docs, alumni, and other Boston University affiliates interested in marine science, regardless of gender identity."
82,Boston University Students for Life,https://bu.campuslabs.com/engage/organization/studentsforlife,"Boston University Students for Life serves as a collegiate chapter of Students for Life, a leading pro-life advocacy organization. BUSFL works to save lives threatened by induced abortion, euthanasia, and the destruction of human embryos for research."
83,Boston University Visual Journalists Association,https://bu.campuslabs.com/engage/organization/buvja,BUJVA is a professional club to support student photojournalism and other types of visual journalism.
84,BosTones,https://bu.campuslabs.com/engage/organization/bostones,"Each semester, the BU BosTones bring a unique soul and energy to the Boston a cappella scene. We are a co-ed group of undergraduates focused on delivering the hottest arrangements and a lethal sound."
85,BostonHacks,https://bu.campuslabs.com/engage/organization/boston-hacks,"BostonHacks is a collection of students who organize workshops and hackathons within and outside of BU. We host BU's largest student-run hackathon, BostonHacks. As organizers, we aim to host an event that fosters a meaningful CS community."
86,BPM,https://bu.campuslabs.com/engage/organization/bpm,"BPM is a music performance group composed of singers, rappers, instrumentalists, producers, and sound engineers who write, perform, and produce songs of all genres including K-pop, Hip-Hop, and acapella. We aim to spread Korean culture through music."
87,Brazilian Association,https://bu.campuslabs.com/engage/organization/brazilian-association,"The Boston University Brazilian Association seeks to foster cultural appreciation and exploration by organizing exciting and engaging activities. This club is built on a welcoming philosophy. It is open to Brazilians and non-Brazilians, speakers of Por..."
88,BridgeBU,https://bu.campuslabs.com/engage/organization/bridgebu,"BridgeBU is the Boston University chapter of BridgeUSA, a student-led organization that aims to combat political polarization by fostering a political culture of respect and open-mindedness on college campuses nationwide."
89,Brothers United,https://bu.campuslabs.com/engage/organization/brothersunited,"Our mission is to foster meaningful connections and strengthen the bonds among men of color, providing them with a sense of belonging and a home away from home."
90,BU Beatboxing,https://bu.campuslabs.com/engage/organization/bubbx,The core purpose of the BU Beatboxing club is to enhance the BU community through showcasing the under-appreciated art form/subculture of beatboxing through providing teaching and education to musically inclined students to continue practice.
91,BU Closet,https://bu.campuslabs.com/engage/organization/bu-closet,"At BU Closet, our mission is to cultivate a sense of community and environmental responsibility by offering a platform for individuals to participate in free, sustainable, & circular clothing consumption."
92,BU F1Tenth Autonomous Racing Organization,https://bu.campuslabs.com/engage/organization/f1tenthautonomousracingorg,The F1Tenth Autonomous Car Racing is dedicated to fueling innovation in the research and development of competition-grade autonomous racing ground vehicles. The goal of the club is to train an in-house team to annually compete in the F1Tenth Competition.
93,BU onBeat,https://bu.campuslabs.com/engage/organization/bob,"BU on Beat is a student org that promotes the vibrant culture of house music within our university community. Our mission is to provide a supportive and inclusive environment where aspiring DJs can collaborate, mix, and share their love for music!"
94,BU Student Organizations,https://bu.campuslabs.com/engage/organization/bostonuniversity,"With 450+ student organizations, it’s easy to pursue a favorite hobby or get a taste of something different. We’ll help you find students who share your interests—or get the ball rolling with you to create a new group."
95,BU Students for Israel,https://bu.campuslabs.com/engage/organization/bu-students-for-israel,BU Students for Israel is a student organization dedicated to representing and supporting Israel on campus. We plan events with strategic campus partners to educate students about Israel and celebrate Israeli culture.
96,Bug Club,https://bu.campuslabs.com/engage/organization/bugclub,"The Bug Club offers a community that engages students in the study of insects, known as entomology. Through discussion panels, guest speakers, and group events, we explore the various applications that insects have on the ecosystem and our daily lives."
97,Bulletproof Funk,https://bu.campuslabs.com/engage/organization/bulletprooffunk,"Bulletproof Funk is Boston University's one-of-a-kind dance group dedicated to street dance. We focus on b-boying (breakdancing), popping, and locking but do not limit ourselves to these styles."
98,Burmese Student Association,https://bu.campuslabs.com/engage/organization/bubursa,The Boston University Burmese Student Association is an all-inclusive student association primarily aiming to help promote Myanmar’s culture and tradition to the BU community through exciting interest information sessions and cultural events.
99,Business & Technology Club,https://bu.campuslabs.com/engage/organization/business-technology-club,"The BU BizTech Club aims to target students who think critically, problem-solve, and strive to understand and utilize technology on an ongoing basis. We aim to educate and develop an understanding of career paths associated with a degree in MIS."
100,Business Law Club,https://bu.campuslabs.com/engage/organization/bubusinesslawclub,"The Boston University Business Law Club is organized to bring more awareness to the Law field. Through our classes, we have recognized a need for an organization that encourages people to challenge different ideas in a safe environment."
101,Callbacks,https://bu.campuslabs.com/engage/organization/callbacks,"The Callbacks are the only comedy group on campus that performs original sketch comedy, improvisational comedy, and produces video shorts. We are not just sketch. We are not just improv. We're just funny!"
102,Camp Kesem,https://bu.campuslabs.com/engage/organization/kesembu,"Kesem is a community, driven by passionate college student leaders, that supports children through and beyond their parent's cancer. A program of Kesem, Camp Kesem operates free summer camps for children who have been impacted by a parent's cancer."
103,Campus Activities Board,https://bu.campuslabs.com/engage/organization/cab,"This is a student-focused programming board for the Boston University campus. Focused on creating events and programs that will benefit the entire BU community, bringing students together in new ways, and planning fun events!"
104,Cape Verdean Student Association,https://bu.campuslabs.com/engage/organization/cvsa,"The Cape Verdean Student Association is committed to promoting inclusivity, diversity, and civic engagement by showcasing collaborative and cultural events, working with local Cape Verdean organizations, and amplifying Cape Verdean students’ voices."
105,CAS Student Government,https://bu.campuslabs.com/engage/organization/casstugov,"The College of Arts & Sciences Student Government advocates for and represents the interests of the CAS student body. Our organization aims to host events, create initiatives, and foster an amazing family community for all in CAS! Insta: @cas_stugov"
106,Catholic Student Association,https://bu.campuslabs.com/engage/organization/catholic-student-association,"The Catholic Student Association is the ideal student group at Boston University if you're Catholic or interested in the faith. For many students, it is a home away from home. The CSA is a strong community of people looking to grow closer to God while ..."
107,C,https://bu.campuslabs.com/engage/organization/cdsstugov,"CDS Student Government
The Computing and Data Sciences (CDS) student government serves the interdisciplinary student community at CDS. Through advocacy, communication, and collaboration with our fellow peers, we aspire to make CDS feel like a tight-knit community."
108,Center for Gender Sexuality and Activism,https://bu.campuslabs.com/engage/organization/center-for-gender-sexuality-and-activism,"The CGSA is an open student-run space in the basement of the GSU. It is run by a team of coordinators who operate on a consensus model and staffed from 10-5 every day by volunteers. Each evening, a variety of student groups meet in the space. Free reso..."
109,CFA Student Government,https://bu.campuslabs.com/engage/organization/cfa-student-government,"The Student Government of the College of Fine Arts serves a community of musicians, actors, visual artists, and scholars. We ensure that our students maintain an active voice within the greater BU student body. CFA Student Government plans social and c..."
110,CGS Student Government,https://bu.campuslabs.com/engage/organization/cgs-student-government,"The College of General Studies Student Government Association (CGS SGA) is an organization which strives to represent the CGS student body and better connect them to the BU community through events, advocacy and communication."
111,Chabad Jewish Student Organization,https://bu.campuslabs.com/engage/organization/chabad-jewish-student-organization,"The Chabad Jewish Student Organization provides opportunities, both individual and collective, for the Boston University Student Community to experience the unique approach it has to Jewish living, knowledge, and practice. Chabad presents Judaism, inv..."
112,Chankaar,https://bu.campuslabs.com/engage/organization/chankaar,"Chankaar is Boston University's premiere all-female bollywood fusion competitive dance team. We combine a variety of different dance forms, such as bollywood, bhangra, hip-hop, contemporary, and classical forms."
113,Cheer Team,https://bu.campuslabs.com/engage/organization/cheer,The Boston University Cheerleading Team is a competitive NCA Division I Team.
114,Cheese Lovers Society,https://bu.campuslabs.com/engage/organization/bucheeseloverssociety,The Cheese Lovers Society brings together students who are interested in learning more about the cheese scene of Boston. We hope to introduce members to a variety of cheeses from around the world and discuss the history and process of cheese making.
115,Chemia,https://bu.campuslabs.com/engage/organization/chemia,Chemia is the undergraduate chemistry student organization at Boston University. We foster a community for students in the molecular sciences to support each other and host events for students to grow as a chemist. We aim to share our love for chemistry.
116,Chess Club,https://bu.campuslabs.com/engage/organization/chess-club,"The purpose of BU Chess is to act as a community hub for chess enthusiasts at Boston University. The club will provide chess resources (such as chess textbooks, chess boards, etc.) for undergraduates"
117,Chi Phi,https://bu.campuslabs.com/engage/organization/chi-phi,"Founded in 1824, the Chi Phi Fraternity is the oldest men's college fraternity in existence today. Truth, Honor, and Personal Integrity are the hallmarks of our fraternity. We currently maintain 54 chapters and four colonies across the nation."
118,Chinese Students Association,https://bu.campuslabs.com/engage/organization/chinese-students-association,"Boston University Chinese Student Association is a student group dedicated to promoting Chinese Culture and fostering friendship in the Chinese Community. We welcome people of all backgrounds and nationalities to join us, to celebrate and learn traditi..."
119,Chinese Traditional Clothing Club,https://bu.campuslabs.com/engage/organization/buctcc,"Chinese Traditional Clothing Club is an advocacy group promoting Hanfu movements, bringing attention to Chinese traditional cultural heritage through visual art and literature."
120,Choral Society,https://bu.campuslabs.com/engage/organization/choral-society,"BU Choral Society is a non-audition, co-ed chorus where people of ALL levels of experience are welcome! We sing a variety of fun and accessible music, culminating in a themed concert at the end of each semester."
121,Chordially Yours,https://bu.campuslabs.com/engage/organization/chordially-yours,"Hi! We're Chordially Yours, an all women and non-binary a cappella group founded in 2000 by Beth Heald ('03)! You can call us Chords for short. We believe in using music to empower and celebrate women and nonbinary people."
122,Christians on Campus,https://bu.campuslabs.com/engage/organization/christians-on-campus,"Like our name, our goal is simple: to help students gain a deeper understanding of the Bible to guide their lives and find their true purpose and meaning in God, and to be rooted in a strong Christian community to grow in the critical college years."
123,Circle K International,https://bu.campuslabs.com/engage/organization/circle-k-international,BU Circle K International provides students with the opportunity to engage in community service on the local and international levels while gaining valuable leadership skills for the future. Our service project initiatives cover a wide range of interes...
124,CleanTech Club,https://bu.campuslabs.com/engage/organization/bucleantech,The BU CleanTech Club aims to create an engineering-focused community of students and faculty interested in the advancement of environmentally sustainable technology.
125,Climbing Club,https://bu.campuslabs.com/engage/organization/climbingclub,"Welcome to Climbing Club. This is a club for people who want to socialize with other rock climbers at BU. The club brings together climbers for weeknight practices at FitRec and other area gyms, where they can meet others, hang out, and get stronger."
126,Club Colombia,https://bu.campuslabs.com/engage/organization/clubcolombiabu,"In Club Colombia, Colombian students and those interested in the country come together for activities that create a sense of community such as cooking together, celebrating holidays, watching fútbol games, trying restaurants, and hosting guest speakers."
